LECROYWaveRunnerž,40477,Waveform
Segments,1,SegmentSize,1000
Segment,TrigTime,TimeSinceSegment1
#1,07-Jun-2021 10:52:12,0                 
Time,Ampl
-0.00402,0.046170707
-0.00401,0.044703335
-0.004,0.044342928
-0.00399,0.044368672
-0.00398,0.042991402
-0.00397,0.042334947
-0.00396,0.042450792
-0.00395,0.042193358
-0.00394,0.041639876
-0.00393,0.041240854
-0.00392,0.040610142
-0.00391,0.039799227
-0.0039,0.039413076
-0.00389,0.039129899
-0.00388,0.039245745
-0.00387,0.037778373
-0.00386,0.037919962
-0.00385,0.037018945
-0.00384,0.036607051
-0.00383,0.035500087
-0.00382,0.03575752
-0.00381,0.034998091
-0.0038,0.034959476
-0.00379,0.034032716
-0.00378,0.034341636
-0.00377,0.03283565
-0.00376,0.033131698
-0.00375,0.032887136
-0.00374,0.032192066
-0.00373,0.032526729
-0.00372,0.032037606
-0.00371,0.031213818
-0.0037,0.030660336
-0.00369,0.029900907
-0.00368,0.030814796
-0.00367,0.029128607
-0.00366,0.028871173
-0.00365,0.028793943
-0.00364,0.028781072
-0.00363,0.027880054
-0.00362,0.027674107
-0.00361,0.027017652
-0.0036,0.027056267
-0.00359,0.026734475
-0.00358,0.026528528
-0.00357,0.026103763
-0.00356,0.025859201
-0.00355,0.024610648
-0.00354,0.025228489
-0.00353,0.024687878
-0.00352,0.023580914
-0.00351,0.023954193
-0.0035,0.023683888
-0.00349,0.023040304
-0.00348,0.022898715
-0.00347,0.022718512
-0.00346,0.022499693
-0.00345,0.02239672
-0.00344,0.022139286
-0.00343,0.021482831
-0.00342,0.021959083
-0.00341,0.02078776
-0.0034,0.020762017
-0.00339,0.020581814
-0.00338,0.020118433
-0.00337,0.019655053
-0.00336,0.019564951
-0.00335,0.019307518
-0.00334,0.019178801
-0.00333,0.018715421
-0.00332,0.018548089
-0.00331,0.01863819
-0.0033,0.01809758
-0.00329,0.018071837
-0.00328,0.017737173
-0.00327,0.017260921
-0.00326,0.017029231
-0.00325,0.017145076
-0.00324,0.016244059
-0.00323,0.016282674
-0.00322,0.016038112
-0.00321,0.015832165
-0.0032,0.01610247
-0.00319,0.015767807
-0.00318,0.015420271
-0.00317,0.015111351
-0.00316,0.014982634
-0.00315,0.014931148
-0.00314,0.014416281
-0.00313,0.014313307
-0.00312,0.01403013
-0.00311,0.013772697
-0.0031,0.014236077
-0.00309,0.01364398
-0.00308,0.01356675
-0.00307,0.013193471
-0.00306,0.013129113
-0.00305,0.012884551
-0.00304,0.012601374
-0.00303,0.012472657
-0.00302,0.012382556
-0.00301,0.012356812
-0.003,0.012047892
-0.00299,0.011790459
-0.00298,0.011198361
-0.00297,0.011674613
-0.00296,0.011275591
-0.00295,0.01133995
-0.00294,0.011352822
-0.00293,0.010928056
-0.00292,0.010722109
-0.00291,0.010799339
-0.0029,0.010426061
-0.00289,0.010194371
-0.00288,0.009782477
-0.00287,0.0098597071
-0.00286,0.0098082204
-0.00285,0.0099111938
-0.00284,0.0097953487
-0.00283,0.0092032516
-0.00282,0.0094220701
-0.00281,0.0092676099
-0.0028,0.0091002782
-0.00279,0.0088042296
-0.00278,0.0088814597
-0.00277,0.0084180793
-0.00276,0.008508181
-0.00275,0.0086111544
-0.00274,0.0085210527
-0.00273,0.0085854111
-0.00272,0.0081606458
-0.00271,0.0082378758
-0.0027,0.0076586504
-0.00269,0.0078002388
-0.00268,0.0080834157
-0.00267,0.0076200354
-0.00266,0.0075685486
-0.00265,0.0075428053
-0.00264,0.0075299336
-0.00263,0.00719527
-0.00262,0.00711804
-0.00261,0.0073368585
-0.0026,0.0067447614
-0.00259,0.0068091197
-0.00258,0.0067962481
-0.00257,0.0068477348
-0.00256,0.0062685093
-0.00255,0.0062685093
-0.00254,0.0061784076
-0.00253,0.0061140492
-0.00252,0.0062170226
-0.00251,0.0061269209
-0.0025,0.0062298943
-0.00249,0.0060368191
-0.00248,0.005882359
-0.00247,0.0058952307
-0.00246,0.0056120538
-0.00245,0.0057021556
-0.00244,0.0053803636
-0.00243,0.0055348238
-0.00242,0.0054833371
-0.00241,0.0052001602
-0.0024,0.0051229301
-0.00239,0.0052773902
-0.00238,0.0051744168
